monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,state,region,publishedDatetime,ads_id,latitude,longitude,address
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1083 sq.ft.,Fully Furnished,"Sauna, Barbeque area, Parking, Gymnasium, Multipurpose hall, Security, Swimming Pool, Lift, Playground, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Penang,Bukit Mertajam,2025-01-13 16:44,109583684,,,"Jalan Perda Utara 1, Bandar Baru Perda, Bukit Mertajam, Penang"
"RM 2,200 per month","House, For rent",2-storey Terraced House,4,3,1774 sq.ft.,Partially Furnished,,"Air-Cond, Washing Machine",Penang,Butterworth,2025-01-13 16:44,109269532,,,
"RM 2,100 per month","Apartment / Condominium, For rent",Condominium,4,2,1535 sq.ft.,Partially Furnished,"Sauna, Lift, Barbeque area, Gymnasium, Jogging Track, Security, Playground, Swimming Pool, Parking","Air-Cond, Cooking Allowed, Washing Machine",Penang,Butterworth,2025-01-13 16:44,109537577,,,"Lorong Seri Tanjung 1, Off Jalan Ong Yi How, Butterworth, Penang"
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1508 sq.ft.,Fully Furnished,"Gymnasium, Parking, Playground, Swimming Pool, Security, Barbeque area, Lift, Jogging Track, Club house, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Penang,Bukit Mertajam,2025-01-13 16:44,109403672,,,"Lorong Perda Utama 3, Off Jalan Permatang Batu, Bukit Mertajam, Penang"
"RM 3,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1488 sq.ft.,Fully Furnished,"Swimming Pool, Lift, Parking, Security, Gymnasium, Squash Court, Sauna, Club house, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Setapak,2025-01-13 16:44,109768546,3.187000590510331,101.7047631388103,"Jalan Tiara Titiwangsa, Setapak, Kuala Lumpur"
RM 290 per month,"Apartment / Condominium, For rent",Condominium,5,2,1100 sq.ft.,Fully Furnished,"Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court","Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor,Shah Alam,2025-01-13 16:43,109777734,3.077467691169683,101.48381911680471,"Jalan Kristal 7/70G, Section 7, Shah Alam, Selangor"
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1100 sq.ft.,Fully Furnished,"Squash Court, Multipurpose hall, Playground, Swimming Pool, Minimart, Gymnasium, Sauna, Parking, Security, Tennis Court, Barbeque area",,Penang,Sungai Ara,2025-01-13 16:43,109777727,5.328537674356374,100.27309486929411,"Jalan Dato Ismail Hashim, Sungai Ara, Penang"
"RM 1,699 per month","Apartment / Condominium, For rent",Condominium,3,2,977 sq.ft.,Partially Furnished,"Barbeque area, Sauna, Multipurpose hall, Security, Gymnasium, Parking, Jogging Track, Swimming Pool, Lift, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Kepong,2025-01-13 16:43,109777721,3.208271259360864,101.63829655899812,"Jalan Kuang Bertam 6, Taman Kepong, Kepong, Kuala Lumpur"
"RM 3,100 per month","House, For rent",2-storey Terraced House,6,3,3300 sq.ft.,Fully Furnished,,,Selangor,Kota Kemuning,2025-01-13 16:43,109777718,,,
"RM 1,700 per month","House, For rent",1-storey Terraced House,4,3,2040 sq.ft.,Not Furnished,,,Selangor,Klang,2025-01-13 16:43,109777717,,,
"RM 1,100 per month","House, For rent",1-storey Terraced House,3,1,1500 sq.ft.,Not Furnished,,Air-Cond,Pahang,Kuantan,2025-01-13 16:43,109777702,,,
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,1040 sq.ft.,Partially Furnished,"Security, Playground, Swimming Pool, Multipurpose hall, Gymnasium, Lift, Barbeque area, Parking, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine",Selangor,Kajang,2025-01-13 16:43,109777701,,,"Off Jalan Mutiara 2, Mutiara Heights, Kajang, Selangor"
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,967 sq.ft.,Fully Furnished,"Security, Playground, Parking, Swimming Pool, Gymnasium, Barbeque area, Lift",,Kuala Lumpur,Cheras,2025-01-13 16:43,108628372,3.08313995,101.73933805,"Jalan 4/124, Taman Connaught,, Cheras, Kuala Lumpur"
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,4,4,1550 sq.ft.,Partially Furnished,"Security, Parking, Playground, Swimming Pool","Air-Cond, Cooking Allowed, Internet, Washing Machine",Selangor,Cheras,2025-01-13 16:42,109777694,3.054942412620476,101.75255930227938,"Jalan Seri Taming, Taman Seri Taming, Cheras, Selangor"
"RM 1,700 per month","Apartment / Condominium, For rent",Apartment,3,2,1068 sq.ft.,Partially Furnished,"Playground, Gymnasium, Barbeque area, Swimming Pool, Parking, Security, Minimart","Cooking Allowed, Near KTM/LRT, Washing Machine, Air-Cond",Selangor,Puchong,2025-01-13 16:42,109702095,,,"Taman Puchong Prima, Puchong, Selangor"
"RM 1,380 per month","Apartment / Condominium, For rent",Apartment,3,2,1100 sq.ft.,Partially Furnished,"Parking, Security, Playground, Barbeque area, Minimart, Gymnasium, Swimming Pool","Cooking Allowed, Near KTM/LRT, Air-Cond",Selangor,Seri Kembangan,2025-01-13 16:42,109702219,,,"Sungai Besi Serdang Perdana, Taman Serdang Perdana, Seri Kembangan, Selangor"
"RM 4,500 per month","Apartment / Condominium, For rent",Condominium,4,5,1700 sq.ft.,Fully Furnished,"Club house, Parking, Gymnasium, Lift, Security, Swimming Pool",,Penang,Georgetown,2025-01-13 16:42,109777683,,,"Gat Lebuh Leith, Off Lebuh Farquhar, Georgetown, Penang"
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,3,1720 sq.ft.,Partially Furnished,,,Johor,Skudai,2025-01-13 16:42,109777679,,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,2,2,950 sq.ft.,Fully Furnished,"Security, Parking, Playground, Swimming Pool, Gymnasium, Lift, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Sabah,Kota Kinabalu,2025-01-13 16:42,109777678,,,"Lorong Tahan 3, Taman Sentosa, Kota Kinabalu, Sabah"
