monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,3,2,850 sq.ft.,Fully Furnished,"Swimming Pool, Parking, Barbeque area, Security, Playground, Multipurpose hall, Lift, Gymnasium",,"Jalan Sentul Pasar, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-01-27 21:02,109945252,3.1980560190394356,101.69075198048738
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,2,2,1100 sq.ft.,Fully Furnished,"Playground, Squash Court, Lift, Sauna, Multipurpose hall, Security, Gymnasium, Tennis Court, Barbeque area, Parking, Swimming Pool","Cooking Allowed, Air-Cond, Washing Machine","Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-27 21:00,107938318,1.4623036,103.7303918
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,2,1,850 sq.ft.,Fully Furnished,"Gymnasium, Security, Swimming Pool, Jogging Track, Playground, Barbeque area, Multipurpose hall, Parking, Lift, Sauna, Minimart","Cooking Allowed, Air-Cond, Washing Machine","No.1, Persiaran Southkey 1, Southkey, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-27 21:00,107938370,1.4973706999999998,103.7773152
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,1,1,50 sq.ft.,Fully Furnished,"Multipurpose hall, Parking, Playground, Swimming Pool, Tennis Court, Barbeque area, Lift, Security, Sauna, Gymnasium, Minimart, Jogging Track, Club house","Cooking Allowed, Air-Cond, Washing Machine","Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-27 21:00,109907224,1.4623036,103.7303918
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,2,1,1021 sq.ft.,Fully Furnished,"Multipurpose hall, Parking, Playground, Swimming Pool, Tennis Court, Barbeque area, Lift, Security, Sauna, Gymnasium, Minimart, Jogging Track, Club house","Cooking Allowed, Air-Cond, Washing Machine","Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-27 21:00,109757499,1.4623036,103.7303918
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,2,1,1200 sq.ft.,Fully Furnished,"Tennis Court, Parking, Swimming Pool, Gymnasium, Barbeque area, Sauna, Multipurpose hall, Security, Playground, Squash Court, Lift","Cooking Allowed, Washing Machine, Air-Cond","Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-27 20:59,108481942,1.4623036,103.7303918
"RM 1,899 per month","Apartment / Condominium, For rent",Service Residence,1,1,494 sq.ft.,Fully Furnished,"Parking, Gymnasium, Security, Lift, Swimming Pool, Playground, Minimart, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine","Jalan Sultan Haji Ahmad Shah, Off Persiaran Dutamas, Mont Kiara, Kuala Lumpur",Kuala Lumpur,Mont Kiara,2025-01-27 20:58,86910961,,
"RM 1,799 per month","Apartment / Condominium, For rent",Service Residence,1,1,494 sq.ft.,Fully Furnished,"Security, Swimming Pool, Barbeque area, Multipurpose hall, Lift, Parking, Gymnasium",Air-Cond,"Jalan Sultan Haji Ahmad Shah, Off Persiaran Dutamas, Mont Kiara, Kuala Lumpur",Kuala Lumpur,Mont Kiara,2025-01-27 20:57,109180081,,
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,3,3,1598 sq.ft.,Fully Furnished,"Parking, Lift, Security, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine","No.1, Lengkok Merbah 3, Taman Sri Bayan, Sungai Ara, Penang",Penang,Sungai Ara,2025-01-27 20:55,109336005,,
"RM 2,600 per month","Apartment / Condominium, For rent",Condominium,3,2,970 sq.ft.,Fully Furnished,"Swimming Pool, Squash Court, Playground, Barbeque area, Parking, Security, Tennis Court, Sauna, Gymnasium, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine","Off Jalan Kelawei, Georgetown, Penang",Penang,Georgetown,2025-01-27 20:55,109689816,,
