ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,Column1
105818673,M Adora,2024,"RM 2,700 per month",Kuala Lumpur - Wangsa Maju,Condominium,4,2,2,1000 sq.ft.,Fully Furnished,"Gymnasium, Barbeque area, Parking, Playground, Swimming Pool, Multipurpose hall, Security, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
106013619,The Reach @ Titiwangsa,2017,"RM 2,680 per month",Kuala Lumpur - Setapak,Condominium,4,2,3,1590 sq.ft.,Fully Furnished,"Security, Parking, Swimming Pool, Gymnasium, Squash Court, Lift, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Jogging Track, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
106052784,TR Residence,2021,"RM 2,600 per month",Kuala Lumpur - Titiwangsa,Service Residence,3,1,2,753 sq.ft.,Fully Furnished,"Parking, Jogging Track, Barbeque area, Multipurpose hall, Gymnasium, Security, Playground, Swimming Pool","Near KTM/LRT, Air-Cond, Cooking Allowed, Washing Machine",
106049013,Infiniti 3 Residences,2017,"RM 2,600 per month",Kuala Lumpur - Wangsa Maju,Condominium,3,,4,1518 sq.ft.,Partially Furnished,"Barbeque area, Playground, Swimming Pool, Gymnasium, Tennis Court, Lift, Parking, Security","Air-Cond, Cooking Allowed, Near KTM/LRT",
106048663,Seasons Garden Residences @ Wangsa Maju,2017,"RM 2,600 per month",Kuala Lumpur - Wangsa Maju,Service Residence,4,1,2,850 sq.ft.,Fully Furnished,"Barbeque area, Jogging Track, Parking, Playground, Swimming Pool, Gymnasium, Multipurpose hall, Security, Minimart, Lift","Air-Cond, Near KTM/LRT, Cooking Allowed, Internet",
106021437,Titiwangsa Sentral,2011,"RM 2,600 per month",Kuala Lumpur - Titiwangsa,Condominium,3,,2,1100 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Squash Court, Lift, Security, Gymnasium, Barbeque area, Playground, Tennis Court, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
104595923,Riana South @ Bukit Mandarina,2019,"RM 2,600 per month",Kuala Lumpur - Cheras,Service Residence,4,2,2,958 sq.ft.,Fully Furnished,"Lift, Gymnasium, Playground, Club house, Parking, Security, Swimming Pool, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
102965764,Kaleidoscope Residensi Setiawangsa,2020,"RM 2,600 per month",Kuala Lumpur - Setiawangsa,Condominium,3,2,2,1192 sq.ft.,Partially Furnished,"Parking, Security, Swimming Pool, Lift, Playground, Multipurpose hall, Barbeque area, Gymnasium, Jogging Track","Air-Cond, Cooking Allowed",
106002443,Riverville Residences,2015,"RM 2,600 per month",Kuala Lumpur - Old Klang Road,Condominium,3,2,2,1210 sq.ft.,Fully Furnished,"Barbeque area, Parking, Security, Playground, Swimming Pool, Jogging Track, Multipurpose hall, Gymnasium",,
105992886,V Residence Suites,,"RM 2,600 per month",Kuala Lumpur - Cheras,Service Residence,2,1,1,694 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Security, Playground, Parking, Lift, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",
